categoria,alias,fijo_m3,usd_mes,r_13_25,r_26_50,r_51_75,r_76_100,r_101_150,r_mas_151,descripcion
R1,Residencial,16.74,1.395,1.1,1.26,1.87,2.39,2.84,3.34,"Terrenos baldíos, casas abandonadas, viviendas en litigio"
R2,Residencial,33.37,2.780833333,1.78,1.98,2.96,3.59,4.16,4.75,Viviendas de una o dos habitaciones con una sola toma de agua
R3,Residencial,62.57,5.214166667,2.17,3.38,3.76,4.36,4.96,5.54,Viviendas de una sola planta funcionales y viviendas en construcción
R4,Residencial,104.22,8.685,2.58,2.8,4.39,4.99,5.59,6.2,Viviendas de dos o más pisos con todas las dependencias
C,Comercial,125.16,10.43,5.35,5.73,6.14,6.53,6.92,7.34,
CE,Comercial Especial,145.98,12.165,8.72,8.72,9.12,9.5,9.9,10.29,
I,Industrial,112.64,9.386666667,4.95,5.66,5.94,6.33,6.73,7.11,
P,Preferencial,54.96,4.58,2.17,2.39,2.96,3.35,3.76,4.16,"Preferencial: predios con fines sociales, como establecimientos educativos estatales, hospitales, asilos, iglesias, conventos, centros de beneficencia, hogares del Estado"
S,Social,91.72,7.643333333,3.57,3.77,3.96,4.35,4.75,5.15,"Predios de carácter público, edificios del Estado, parques y jardines, salones comunales, hidrantes"
